player,team_id,team_name,match_date,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,player_id
Debinha,6f666306,Current,03152025,99,br BRA,F,33-146,84,1,1,0,0,2,1,0,0,50,5,1,1,0.4,0.4,1.0,10,3,26,34,76.5,6,31,2,2,1,6f666306_99
Haley Hopkins,6f666306,Current,03152025,13,us USA,M,26-084,6,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,0,8,0,1,1,6f666306_13
Temwa Chaŵinga,6f666306,Current,03152025,6,mw MWI,F,26-176,90,1,0,0,0,2,2,0,0,43,1,2,0,0.6,0.6,0.4,5,0,25,29,86.2,6,30,2,2,1,6f666306_6
Michelle Cooper,6f666306,Current,03152025,17,us USA,F,22-101,66,1,0,0,0,3,2,0,0,44,5,0,1,0.3,0.3,0.0,4,1,17,30,56.7,3,22,0,1,1,6f666306_17
Nichelle Prince,6f666306,Current,03152025,8,ca CAN,F,30-024,24,0,0,0,0,2,0,0,0,19,0,0,2,0.2,0.2,0.0,0,0,6,9,66.7,0,12,0,1,0,6f666306_8
Vanessa DiBernardo,6f666306,Current,03152025,16,us USA,M,32-304,89,0,0,0,0,1,0,0,0,43,3,1,0,0.1,0.1,0.0,5,1,18,35,51.4,5,26,3,1,0,6f666306_16
Bayley Feist,6f666306,Current,03152025,22,us USA,F,28-001,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,2,0,1,1,6f666306_22
Claire Hutton,6f666306,Current,03152025,14,us USA,M,19-063,66,0,0,0,0,0,0,1,0,37,2,1,2,0.0,0.0,0.0,2,1,19,27,70.4,4,16,0,0,0,6f666306_14
Raquel Rodríguez,6f666306,Current,03152025,11,cr CRC,M,31-138,24,0,0,0,0,0,0,0,0,23,2,0,2,0.0,0.0,0.0,1,0,10,12,83.3,1,9,0,1,0,6f666306_11
Lo'eau LaBonta,6f666306,Current,03152025,10,us USA,M,31-362,90,0,0,0,0,1,0,0,0,51,3,2,0,0.1,0.1,0.0,0,0,28,38,73.7,11,22,1,1,0,6f666306_10
Ellie Wheeler,6f666306,Current,03152025,5,us USA,D,23-091,90,0,0,0,0,2,1,0,0,34,1,0,0,0.1,0.1,0.0,1,0,17,25,68.0,2,14,1,1,0,6f666306_5
Kayla Sharples,6f666306,Current,03152025,27,us USA,D,27-271,90,0,0,0,0,0,0,0,0,46,0,1,1,0.0,0.0,0.0,0,0,30,37,81.1,1,30,0,0,0,6f666306_27
Alana Cook,6f666306,Current,03152025,15,us USA,D,27-338,90,0,0,0,0,1,0,0,0,61,0,2,0,0.0,0.0,0.0,1,0,47,55,85.5,2,45,0,0,0,6f666306_15
Elizabeth Ball,6f666306,Current,03152025,7,us USA,D,29-146,45,0,0,0,0,1,0,0,0,44,2,0,0,0.0,0.0,0.0,0,0,28,35,80.0,1,19,0,1,0,6f666306_7
Isabel Rodriguez,6f666306,Current,03152025,18,us USA,D,25-336,45,0,0,0,0,0,0,0,0,38,0,1,3,0.0,0.0,0.0,0,0,19,31,61.3,1,14,0,0,0,6f666306_18
Lorena,6f666306,Current,03152025,23,br BRA,G,27-313,90,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,15,20,75.0,0,13,0,0,0,6f666306_23
Alexa Spaanstra,df9a10a1,Thorns,03152025,77,us USA,F,25-042,63,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,11,17,64.7,2,20,1,2,1,df9a10a1_77
Payton Linnehan,df9a10a1,Thorns,03152025,15,us USA,F,23-355,27,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,5,8,62.5,1,6,0,0,0,df9a10a1_15
Deyna Castellanos,df9a10a1,Thorns,03152025,10,ve VEN,F,25-331,86,0,0,0,0,3,1,0,0,25,2,1,0,0.1,0.1,0.0,3,0,10,18,55.6,4,17,0,2,0,df9a10a1_10
Pietra Tordin,df9a10a1,Thorns,03152025,19,us USA,F,20-350,4,0,0,0,0,1,0,0,0,4,0,0,0,0.1,0.1,0.0,1,0,1,2,50.0,0,2,0,1,1,df9a10a1_19
Olivia Moultrie,df9a10a1,Thorns,03152025,13,us USA,M,19-179,90,1,0,0,1,2,1,0,0,47,1,0,2,0.8,0.1,0.1,1,0,22,28,78.6,5,23,1,0,0,df9a10a1_13
Sam Coffey,df9a10a1,Thorns,03152025,17,us USA,M,26-074,90,0,0,0,0,0,0,0,0,53,1,2,3,0.0,0.0,0.0,0,0,26,44,59.1,2,27,0,1,1,df9a10a1_17
Hina Sugita,df9a10a1,Thorns,03152025,8,jp JPN,M,28-043,72,0,1,0,0,0,0,1,0,44,3,2,2,0.0,0.0,0.1,2,1,23,31,74.2,2,27,1,0,0,df9a10a1_8
Caiya Hanks,df9a10a1,Thorns,03152025,7,us USA,M,20-170,18,0,0,0,0,0,0,0,0,8,1,1,0,0.0,0.0,0.0,0,0,2,3,66.7,0,7,0,3,1,df9a10a1_7
Jessie Fleming,df9a10a1,Thorns,03152025,21,ca CAN,M,27-004,63,0,0,0,0,2,1,0,0,36,1,0,0,0.1,0.1,0.0,1,0,23,29,79.3,4,26,0,3,2,df9a10a1_21
Reilyn Turner,df9a10a1,Thorns,03152025,66,us USA,M,22-149,27,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,1,0,0,4,0.0,0,5,0,0,0,df9a10a1_66
Reyna Reyes,df9a10a1,Thorns,03152025,2,mx MEX,D,24-027,72,0,0,0,0,0,0,1,0,62,1,3,3,0.0,0.0,0.0,1,0,41,50,82.0,2,38,1,2,1,df9a10a1_2
Mallie McKenzie,df9a10a1,Thorns,03152025,29,us USA,D,24-122,18,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,4,6,66.7,0,3,0,0,0,df9a10a1_29
Jayden Perry,df9a10a1,Thorns,03152025,24,us USA,D,24-023,90,0,0,0,0,0,0,0,0,100,4,2,1,0.0,0.0,0.0,2,0,64,79,81.0,2,67,0,2,0,df9a10a1_24
Isabella Obaze,df9a10a1,Thorns,03152025,5,dk DEN,D,22-136,90,0,0,0,0,1,0,0,0,69,1,1,0,0.0,0.0,0.0,0,0,50,57,87.7,4,46,0,1,1,df9a10a1_5
Kaitlyn Torpey,df9a10a1,Thorns,03152025,20,au AUS,D,24-363,90,0,0,0,0,0,0,0,0,59,1,1,0,0.0,0.0,0.0,3,1,39,51,76.5,5,33,1,1,0,df9a10a1_20
Mackenzie Arnold,df9a10a1,Thorns,03152025,18,au AUS,G,31-018,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,34,44,77.3,0,31,0,0,0,df9a10a1_18
Mina Tanaka,d4c130bc,Royals,03152025,11,jp JPN,F,30-321,90,0,0,0,0,3,1,0,0,34,1,0,1,0.1,0.1,0.0,1,0,14,18,77.8,4,19,1,2,0,d4c130bc_11
Bianca St-Georges,d4c130bc,Royals,03152025,53,ca CAN,F,27-230,62,1,0,0,0,2,1,1,0,22,4,1,1,0.6,0.6,0.0,0,0,8,10,80.0,0,10,2,0,0,d4c130bc_53
Aisha Solórzano,d4c130bc,Royals,03152025,30,gt GUA,F,26-336,28,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,3,3,100.0,1,5,0,0,0,d4c130bc_30
Macey Fraser,d4c130bc,Royals,03152025,6,nz NZL,F,22-247,62,0,0,0,0,1,0,0,0,24,3,0,2,0.0,0.0,0.0,0,0,10,16,62.5,1,13,0,1,0,d4c130bc_6
Brecken Mozingo,d4c130bc,Royals,03152025,13,us USA,F,24-007,28,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,5,40.0,0,6,2,0,0,d4c130bc_13
Dana Foederer,d4c130bc,Royals,03152025,22,nl NED,M,22-231,90,0,0,0,0,1,0,0,0,40,2,2,0,0.1,0.1,0.1,3,0,29,35,82.9,3,18,0,0,0,d4c130bc_22
Ally Sentnor,d4c130bc,Royals,03152025,9,us USA,M,21-025,90,0,0,0,0,3,1,0,0,36,2,0,1,0.1,0.1,0.0,1,0,14,25,56.0,3,27,4,3,0,d4c130bc_9
Claudia Zornoza,d4c130bc,Royals,03152025,10,es ESP,M,34-146,90,0,0,0,0,1,1,0,0,47,0,0,0,0.0,0.0,0.0,4,1,34,43,79.1,2,33,0,1,1,d4c130bc_10
Nuria Rábano,d4c130bc,Royals,03152025,14,es ESP,D,25-273,89,0,0,0,0,0,0,1,0,53,4,1,1,0.0,0.0,0.0,1,0,31,40,77.5,2,23,0,1,0,d4c130bc_14
Madison Pogarch,d4c130bc,Royals,03152025,16,us USA,D,27-130,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,2,0,0,d4c130bc_16
Ana Tejada,d4c130bc,Royals,03152025,17,es ESP,D,22-286,90,0,0,0,0,0,0,1,0,61,0,3,2,0.0,0.0,0.0,2,0,42,53,79.2,1,34,0,0,0,d4c130bc_17
Kate Del Fava,d4c130bc,Royals,03152025,8,us USA,D,26-235,90,0,0,0,0,0,0,0,0,60,0,1,1,0.0,0.0,0.0,2,0,47,52,90.4,4,33,1,0,0,d4c130bc_8
Paige Monaghan,d4c130bc,Royals,03152025,4,us USA,D,28-122,33,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,7,7,100.0,0,2,0,0,0,d4c130bc_4
Janni Thomsen,d4c130bc,Royals,03152025,7,dk DEN,D,25-027,57,0,0,0,0,1,0,0,0,47,2,2,2,0.0,0.0,0.0,0,0,26,36,72.2,2,34,3,1,1,d4c130bc_7
Amanda McGlynn,d4c130bc,Royals,03152025,1,us USA,G,26-132,90,0,1,0,0,0,0,0,0,58,0,0,0,0.0,0.0,0.6,2,1,42,57,73.7,0,42,0,0,0,d4c130bc_1
Racheal Kundananji,231a532f,Bay FC,03152025,9,zm ZAM,F,24-285,90,0,0,0,0,5,2,1,0,30,0,0,0,0.2,0.2,0.0,2,0,14,20,70.0,5,25,0,3,1,231a532f_9
Asisat Oshoala,231a532f,Bay FC,03152025,8,ng NGA,F,30-157,65,0,0,0,0,0,0,0,0,19,0,0,3,0.0,0.0,0.0,0,0,5,13,38.5,1,8,1,2,1,231a532f_8
Karlie Lema,231a532f,Bay FC,03152025,5,us USA,F,21-259,25,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,0,4,0.0,0,6,1,0,0,231a532f_5
Taylor Huff,231a532f,Bay FC,03152025,7,us USA,M,22-211,90,0,0,0,0,1,1,0,0,45,2,1,0,0.1,0.1,0.1,5,1,19,38,50.0,6,17,1,1,1,231a532f_7
Kiki Pickett,231a532f,Bay FC,03152025,23,us USA,M,25-319,85,1,0,0,0,3,1,1,0,36,3,4,0,0.1,0.1,0.0,2,0,17,22,77.3,2,14,0,2,1,231a532f_23
Jamie Shepherd,231a532f,Bay FC,03152025,14,us USA,M,24-157,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,231a532f_14
Tess Boade,231a532f,Bay FC,03152025,12,us USA,M,26-040,64,0,0,0,0,0,0,0,0,18,0,1,0,0.0,0.0,0.0,1,0,11,14,78.6,1,14,0,2,1,231a532f_12
Dorian Bailey,231a532f,Bay FC,03152025,19,us USA,M,28-046,26,0,0,0,0,1,1,0,0,16,2,0,0,0.2,0.2,0.0,1,0,9,10,90.0,2,6,0,2,1,231a532f_19
Alyssa Malonson,231a532f,Bay FC,03152025,20,us USA,D,25-340,71,0,0,0,0,0,0,0,0,44,2,1,0,0.0,0.0,0.0,1,0,23,36,63.9,1,19,1,2,1,231a532f_20
Rachel Hill,231a532f,Bay FC,03152025,21,us USA,D,29-332,19,0,0,0,0,0,0,1,0,17,0,0,0,0.0,0.0,0.0,0,0,9,14,64.3,1,11,1,2,0,231a532f_21
Caprice Dydasco,231a532f,Bay FC,03152025,3,us USA,D,31-208,90,0,0,0,0,0,0,0,0,46,2,4,0,0.0,0.0,0.2,2,0,21,32,65.6,6,18,0,3,0,231a532f_3
Joelle Anderson,231a532f,Bay FC,03152025,18,us USA,D,26-160,90,0,1,0,0,0,0,0,0,51,2,2,2,0.0,0.0,0.0,1,1,34,40,85.0,3,25,0,1,0,231a532f_18
Abby Dahlkemper,231a532f,Bay FC,03152025,13,us USA,D,31-306,90,0,0,0,0,2,0,0,0,44,2,0,2,0.1,0.1,0.0,0,0,25,33,75.8,0,21,0,0,0,231a532f_13
Kelli Hubly,231a532f,Bay FC,03152025,11,us USA,D,30-218,64,0,0,0,0,0,0,0,0,31,2,2,2,0.0,0.0,0.0,0,0,17,20,85.0,1,9,0,0,0,231a532f_11
Penelope Hocking,231a532f,Bay FC,03152025,55,us USA,D,25-076,26,0,0,0,0,0,0,0,0,13,1,1,0,0.0,0.0,0.1,2,0,5,7,71.4,0,9,3,1,0,231a532f_55
Jordan Silkowitz,231a532f,Bay FC,03152025,29,us USA,G,24-353,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,16,23,69.6,0,15,0,0,0,231a532f_29
Delanie Sheehan,e813709a,Dash,03142025,8,us USA,F,26-060,58,0,0,0,0,1,1,0,0,38,1,3,2,0.1,0.1,0.0,2,0,17,26,65.4,0,26,2,1,1,e813709a_8
Ryan Gareis,e813709a,Dash,03142025,21,us USA,F,26-121,32,0,1,0,0,1,0,0,0,23,0,2,0,0.1,0.1,0.6,2,1,11,18,61.1,1,18,4,1,0,e813709a_21
Messiah Bright,e813709a,Dash,03142025,6,us USA,F,25-061,72,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,9,13,69.2,0,14,0,2,0,e813709a_6
Evelina Duljan,e813709a,Dash,03142025,7,se SWE,F,21-306,18,0,0,0,0,0,0,0,0,12,2,0,0,0.0,0.0,0.0,0,0,6,7,85.7,2,7,1,1,0,e813709a_7
Yazmeen Ryan,e813709a,Dash,03142025,11,us USA,M,26-017,90,0,0,0,0,2,1,0,0,42,0,0,1,0.1,0.1,0.0,4,0,25,32,78.1,5,35,5,2,0,e813709a_11
Sophie Schmidt,e813709a,Dash,03142025,13,ca CAN,M,36-259,59,0,0,0,0,0,0,0,0,30,0,0,1,0.0,0.0,0.0,1,0,26,28,92.9,1,18,0,0,0,e813709a_13
Maggie Graham,e813709a,Dash,03142025,23,us USA,M,22-247,31,1,0,0,0,1,1,0,0,22,0,2,1,0.6,0.6,0.0,1,0,9,12,75.0,2,10,0,1,0,e813709a_23
Danielle Colaprico,e813709a,Dash,03142025,24,us USA,M,31-312,90,0,0,0,0,1,1,0,0,42,1,1,0,0.0,0.0,0.0,1,0,34,38,89.5,3,30,0,0,0,e813709a_24
Bárbara Olivieri,e813709a,Dash,03142025,10,ve VEN,M,23-018,72,0,0,0,0,1,0,0,0,38,1,2,2,0.0,0.0,0.0,1,0,14,25,56.0,1,22,0,1,0,e813709a_10
Michelle Alozie,e813709a,Dash,03142025,22,ng NGA,M,27-320,18,0,0,0,0,0,0,0,0,7,0,1,0,0.0,0.0,0.0,0,0,1,4,25.0,0,6,0,2,0,e813709a_22
Natalie Jacobs,e813709a,Dash,03142025,4,us USA,D,27-210,90,0,0,0,0,1,0,0,0,81,1,4,3,0.0,0.0,0.0,2,0,61,76,80.3,6,53,3,1,1,e813709a_4
Katie Lind,e813709a,Dash,03142025,25,us USA,D,31-027,90,0,0,0,0,0,0,0,0,75,0,3,1,0.0,0.0,0.0,0,0,61,70,87.1,5,56,0,0,0,e813709a_25
Paige Nielsen,e813709a,Dash,03142025,14,us USA,D,31-151,90,0,0,0,0,0,0,0,0,68,2,2,0,0.0,0.0,0.0,0,0,42,62,67.7,4,43,1,1,1,e813709a_14
Avery Patterson,e813709a,Dash,03142025,15,us USA,D,22-273,90,0,0,0,0,2,0,0,0,70,2,8,2,0.0,0.0,0.0,2,1,34,50,68.0,4,26,6,2,1,e813709a_15
Jane Campbell,e813709a,Dash,03142025,1,us USA,G,30-025,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,18,29,62.1,0,20,0,0,0,e813709a_1
Ashley Hatch,e442aad0,Spirit,03142025,33,us USA,F,29-293,89,1,0,0,0,4,2,0,0,39,0,1,1,1.1,1.1,0.0,2,1,9,21,42.9,1,16,1,0,0,e442aad0_33
Meg Boade,e442aad0,Spirit,03142025,35,,F,,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,e442aad0_35
Leicy Santos,e442aad0,Spirit,03142025,10,co COL,F,28-302,82,0,0,0,0,0,0,0,0,47,1,1,3,0.0,0.0,0.1,2,0,24,35,68.6,3,21,0,4,2,e442aad0_10
Margie Detrizio,e442aad0,Spirit,03142025,36,,M,,8,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,0,0,0,0,e442aad0_36
Makenna Morris,e442aad0,Spirit,03142025,8,us USA,F,22-322,66,1,0,0,0,2,2,0,0,16,0,0,2,0.4,0.4,0.0,1,0,3,10,30.0,0,10,1,0,0,e442aad0_8
Brittany Ratcliffe,e442aad0,Spirit,03142025,13,us USA,F,31-035,24,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,2,4,50.0,0,4,1,0,0,e442aad0_13
Chloe Ricketts,e442aad0,Spirit,03142025,39,us USA,M,17-295,66,0,0,0,0,1,0,0,0,10,1,1,0,0.1,0.1,0.0,2,1,4,5,80.0,0,1,0,0,0,e442aad0_39
Trinity Rodman,e442aad0,Spirit,03142025,2,us USA,F,22-298,24,0,0,0,0,0,0,0,0,16,1,1,1,0.0,0.0,0.0,0,0,2,7,28.6,0,8,2,3,1,e442aad0_2
Narumi Miura,e442aad0,Spirit,03142025,5,jp JPN,M,27-254,90,0,0,0,0,1,0,0,0,43,7,1,0,0.0,0.0,0.0,0,0,24,32,75.0,0,15,0,1,1,e442aad0_5
Hal Hershfelt,e442aad0,Spirit,03142025,17,us USA,M,22-162,66,0,0,0,0,0,0,0,0,22,1,2,0,0.0,0.0,0.0,1,0,12,16,75.0,1,4,1,0,0,e442aad0_17
Esme Morgan,e442aad0,Spirit,03142025,24,eng ENG,D,24-147,24,0,0,0,0,0,0,0,0,18,1,0,1,0.0,0.0,0.0,0,0,12,14,85.7,0,5,0,0,0,e442aad0_24
Casey Krueger,e442aad0,Spirit,03142025,3,us USA,D,34-203,90,0,0,0,0,0,0,0,0,57,1,0,1,0.0,0.0,0.0,0,0,28,49,57.1,2,19,2,3,3,e442aad0_3
Rebeca Bernal,e442aad0,Spirit,03142025,4,mx MEX,D,27-195,90,0,0,0,0,0,0,1,0,86,3,1,1,0.0,0.0,0.0,0,0,54,66,81.8,3,43,1,1,0,e442aad0_4
Tara McKeown,e442aad0,Spirit,03142025,9,us USA,D,25-255,90,0,0,0,0,0,0,0,0,67,1,1,1,0.0,0.0,0.0,0,0,48,56,85.7,1,38,0,0,0,e442aad0_9
Gabrielle Carle,e442aad0,Spirit,03142025,14,ca CAN,D,26-153,90,0,0,0,0,0,0,1,0,53,4,3,0,0.0,0.0,0.0,0,0,26,35,74.3,0,18,0,0,0,e442aad0_14
Aubrey Kingsbury,e442aad0,Spirit,03142025,1,us USA,G,33-114,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,39,46,84.8,0,28,0,0,0,e442aad0_1
Barbra Banda,2a6178ac,Pride,03142025,22,zm ZAM,F,24-359,90,2,1,0,0,6,4,0,0,25,1,0,3,0.6,0.6,0.2,5,3,6,10,60.0,0,13,4,3,2,2a6178ac_22
Marta,2a6178ac,Pride,03142025,10,br BRA,F,39-023,82,0,1,0,0,3,0,0,0,63,2,1,0,0.2,0.2,0.2,11,1,40,55,72.7,8,27,4,2,1,2a6178ac_10
Viviana Villacorta,2a6178ac,Pride,03142025,14,us USA,F,26-040,8,0,0,0,0,0,0,0,0,8,0,1,0,0.0,0.0,0.0,0,0,5,6,83.3,0,1,0,0,0,2a6178ac_14
Angelina,2a6178ac,Pride,03142025,15,br BRA,M,25-047,90,0,0,0,0,3,0,0,0,56,1,0,2,0.2,0.2,0.2,5,0,32,46,69.6,5,22,2,1,0,2a6178ac_15
Haley Hanson,2a6178ac,Pride,03142025,2,us USA,M,29-040,90,1,0,0,0,4,2,0,0,44,2,2,1,0.2,0.2,0.0,3,1,26,30,86.7,3,21,1,0,0,2a6178ac_2
Morgan Gautrat,2a6178ac,Pride,03142025,16,us USA,M,32-016,62,0,1,0,0,2,0,0,0,43,0,0,1,0.1,0.1,0.1,2,1,32,38,84.2,6,14,1,0,0,2a6178ac_16
Julie Doyle,2a6178ac,Pride,03142025,20,us USA,M,26-196,11,1,0,0,0,1,1,0,0,6,0,0,1,0.1,0.1,0.0,0,0,2,4,50.0,1,3,1,0,0,2a6178ac_20
Ally Lemos,2a6178ac,Pride,03142025,30,us USA,M,21-010,17,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,9,11,81.8,1,5,0,0,0,2a6178ac_30
Ally Watt,2a6178ac,Pride,03142025,11,us USA,M,28-002,62,1,0,0,0,3,1,0,0,33,3,1,1,0.5,0.5,0.1,5,1,14,23,60.9,3,15,2,1,1,2a6178ac_11
Prisca Chilufya,2a6178ac,Pride,03142025,9,zm ZAM,M,25-279,28,0,0,0,0,0,0,1,0,13,0,0,0,0.0,0.0,0.1,1,0,5,12,41.7,2,8,5,0,0,2a6178ac_9
Kerry Abello,2a6178ac,Pride,03142025,25,us USA,D,25-178,90,0,0,0,0,5,0,0,0,69,4,0,1,0.2,0.2,0.0,5,0,44,51,86.3,5,29,7,2,0,2a6178ac_25
Rafaelle,2a6178ac,Pride,03142025,4,br BRA,D,33-269,62,0,0,0,0,0,0,0,0,59,2,1,0,0.0,0.0,0.0,1,0,47,52,90.4,4,36,0,0,0,2a6178ac_4
Cori Dyke,2a6178ac,Pride,03142025,12,us USA,D,24-175,28,0,0,0,0,0,0,0,0,11,1,0,2,0.0,0.0,0.0,0,0,8,8,100.0,2,4,0,0,0,2a6178ac_12
Kylie Strom,2a6178ac,Pride,03142025,3,us USA,D,32-361,90,0,0,0,0,0,0,0,0,79,2,1,1,0.0,0.0,0.0,2,1,70,73,95.9,6,53,0,1,1,2a6178ac_3
Emily Sams,2a6178ac,Pride,03142025,6,us USA,D,25-256,90,0,0,0,0,0,0,0,0,68,1,1,1,0.0,0.0,0.0,1,0,60,63,95.2,7,35,2,0,0,2a6178ac_6
Anna Moorhouse,2a6178ac,Pride,03142025,1,eng ENG,G,29-349,90,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,17,18,94.4,0,9,0,0,0,2a6178ac_1
Ally Schlegel,d976a235,Chicago Stars,03142025,34,us USA,F,25-035,78,0,0,0,0,1,1,0,0,27,1,0,2,0.1,0.1,0.0,1,0,16,21,76.2,3,8,0,1,0,d976a235_34
Catherine Barry,d976a235,Chicago Stars,03142025,25,us USA,F,23-088,12,0,0,0,0,2,0,0,0,12,1,1,0,0.1,0.1,0.0,2,0,4,5,80.0,0,3,0,0,0,d976a235_25
Shea Groom,d976a235,Chicago Stars,03142025,10,us USA,F,32-010,84,0,0,0,0,0,0,0,0,24,0,0,2,0.0,0.0,0.1,1,0,9,19,47.4,1,11,0,0,0,d976a235_10
Manaka Hayashi,d976a235,Chicago Stars,03142025,16,jp JPN,F,20-210,6,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.2,3,0,3,3,100.0,1,1,0,0,0,d976a235_16
Nádia Gomes,d976a235,Chicago Stars,03142025,26,pt POR,M,28-125,63,0,0,0,0,0,0,1,0,17,0,1,1,0.0,0.0,0.0,0,0,4,9,44.4,0,12,1,2,0,d976a235_26
Micayla Johnson,d976a235,Chicago Stars,03142025,23,us USA,M,17-055,27,0,0,0,0,2,0,0,0,7,0,0,1,0.1,0.1,0.0,1,0,0,0,,0,5,1,1,0,d976a235_23
Julia Grosso,d976a235,Chicago Stars,03142025,21,ca CAN,M,24-197,78,0,0,0,0,0,0,0,0,26,1,0,0,0.0,0.0,0.0,1,0,19,20,95.0,3,10,0,0,0,d976a235_21
Samantha Staab,d976a235,Chicago Stars,03142025,3,us USA,M,27-351,12,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,2,0,6,9,66.7,1,3,1,0,0,d976a235_3
Cari Roccaro,d976a235,Chicago Stars,03142025,4,us USA,M,30-239,90,0,0,0,0,0,0,0,0,39,2,0,2,0.0,0.0,0.0,1,0,25,31,80.6,1,14,0,0,0,d976a235_4
Jameese Joseph,d976a235,Chicago Stars,03142025,8,us USA,M,22-315,90,0,0,0,0,1,0,0,0,26,4,0,2,0.7,0.7,0.1,1,0,6,10,60.0,0,13,0,3,1,d976a235_8
Taylor Malham,d976a235,Chicago Stars,03142025,32,us USA,D,25-298,90,0,0,0,0,0,0,1,0,33,1,0,1,0.0,0.0,0.0,0,0,25,27,92.6,1,18,0,0,0,d976a235_32
Hannah Anderson,d976a235,Chicago Stars,03142025,41,us USA,D,23-345,90,0,0,0,0,1,0,0,0,58,1,1,2,0.0,0.0,0.0,0,0,34,44,77.3,1,32,0,0,0,d976a235_41
Bea Franklin,d976a235,Chicago Stars,03142025,20,us USA,D,24-161,90,0,0,0,0,1,1,0,0,60,2,0,3,0.0,0.0,0.0,0,0,32,44,72.7,0,27,0,0,0,d976a235_20
Camryn Biegalski,d976a235,Chicago Stars,03142025,30,us USA,D,26-215,63,0,0,0,0,0,0,0,0,36,2,1,1,0.0,0.0,0.0,0,0,16,23,69.6,2,10,0,2,2,d976a235_30
Justina Gaynor,d976a235,Chicago Stars,03142025,18,us USA,D,23-083,27,0,0,0,0,0,0,0,0,18,0,1,0,0.0,0.0,0.0,0,0,7,11,63.6,0,13,0,2,1,d976a235_18
Alyssa Naeher,d976a235,Chicago Stars,03142025,1,us USA,G,36-328,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,25,29,86.2,0,8,0,0,0,d976a235_1
Kennedy Fuller,ae38d267,Angel City,03162025,17,us USA,F,18-007,74,0,1,0,0,1,0,0,0,28,2,0,0,0.0,0.0,0.1,3,1,13,18,72.2,4,11,0,2,1,ae38d267_17
Julie Dufour,ae38d267,Angel City,03162025,7,fr FRA,F,23-291,16,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,6,7,85.7,0,6,1,1,1,ae38d267_7
Riley Tiernan,ae38d267,Angel City,03162025,33,us USA,F,22-122,90,0,0,0,0,3,1,0,0,24,0,1,3,0.2,0.2,0.0,2,0,4,13,30.8,0,13,1,0,0,ae38d267_33
Alyssa Thompson,ae38d267,Angel City,03162025,21,us USA,M,20-129,90,1,0,0,0,2,1,0,0,38,5,0,1,0.1,0.1,0.1,3,0,12,20,60.0,1,20,2,3,1,ae38d267_21
Macey Hodge,ae38d267,Angel City,03162025,8,us USA,M,23-316,74,0,0,0,0,0,0,1,0,32,3,0,3,0.0,0.0,0.0,1,1,12,15,80.0,4,8,0,0,0,ae38d267_8
Katie Zelem,ae38d267,Angel City,03162025,4,eng ENG,M,29-055,16,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,4,8,50.0,1,5,0,0,0,ae38d267_4
Alanna Kennedy,ae38d267,Angel City,03162025,14,au AUS,M,30-054,90,0,0,0,0,1,1,0,0,38,2,1,1,0.0,0.0,0.0,0,0,15,21,71.4,3,14,0,0,0,ae38d267_14
